drug,protein
DB01092,Q7Z2Z2
DB01092,Q9UPZ9
DB01095,Q0VD83
DB01095,P57078
DB01097,P40926
DB01097,Q9Y5Y4
DB01098,Q9UN88
DB01098,Q9UBN1
DB01099,P04264
DB01099,P63000
DB01100,P41146
DB01100,Q6W5P4
DB01101,P02749
DB01101,P07203
DB01102,P31040
DB01102,P08183
DB01104,O15528
DB01104,O75116
DB01105,Q13085
DB01105,P53985
DB01106,P12821
DB01106,Q9Y6E0
DB01107,Q13315
DB01107,P38435
DB01108,Q16790
DB01108,Q14541
DB01110,P28222
DB01110,O95864
DB01113,Q13258
DB01113,Q07869
DB01114,P80303
DB01114,Q04759
DB01115,O96017
DB01115,P02818
DB01117,P52895
DB01117,Q8TDS4
DB01118,Q00534
DB01118,P28845
DB01119,Q07343
DB01119,P01019
DB01120,P18505
DB01120,P22459
DB01121,P53667
DB01121,P46597
DB01122,P14866
DB01122,P07947
DB01124,P16389
DB01124,P23415
DB01125,P23634
DB01125,P49189
DB01126,P43003
DB01126,Q8WWQ8
DB01127,O95477
DB01127,Q02252
DB01128,P10827
DB01128,P43652
DB01129,P10253
DB01129,P21964
DB01130,Q8TDN1
DB01130,O00408
DB01131,P03886
DB01131,P62166
DB01132,P09669
DB01132,O14578
DB01133,P00734
DB01133,P02795
DB01135,P17302
DB01135,Q9Y698
DB01136,P61024
DB01136,Q9NZK7
DB01138,Q99928
DB01138,Q8TAE7
DB01142,P56937
DB01142,O14521
DB01143,P17707
DB01143,O75460
DB01144,P55017
DB01144,O75116
DB01146,P12821
DB01146,Q14541
DB01148,P51812
DB01148,Q9H3N8
DB01149,Q00266
DB01149,P09874
DB01151,P30405
DB01151,Q15428
DB01154,P01031
DB01154,Q8N907
DB01156,P17612
DB01156,P11229
DB01157,P43405
DB01157,P41743
DB01158,Q04828
DB01158,P48736
DB01159,Q6PIU1
DB01159,P08631
DB01160,Q14571
DB01160,Q14624
DB01161,P32322
DB01161,Q02383
DB01162,P13693
DB01162,Q9UBL9
DB01164,Q9NPA2
DB01164,P54710
DB01165,P10915
DB01165,P16615
DB01166,Q9NP56
DB01166,Q9H4Y5
DB01168,P42679
DB01168,Q13237
DB01169,Q16659
DB01169,Q14520
DB01170,Q9HBG4
DB01170,Q7L7X3
DB01171,P05452
DB01171,P81605
DB01173,P11362
DB01173,P32322
DB01174,O00459
DB01174,Q9P0X4
DB01175,O15304
DB01175,Q9UNX9
DB01176,P19113
DB01176,P40933
DB01177,P31644
DB01177,P01375
DB01178,Q14353
DB01178,O75838
DB01179,P14780
DB01179,Q13315
DB01180,P15336
DB01180,Q16772
DB01181,P11802
DB01181,O14920
DB01182,Q96RI1
DB01182,Q09428
DB01183,P51787
DB01183,Q9NVH6
DB01184,Q16873
DB01184,P04004
DB01185,P55017
DB01185,P55211
DB01186,P07195
DB01186,P41145
DB01188,P54646
DB01188,Q14164
DB01189,P32929
DB01189,P08253
DB01191,Q16595
DB01191,P04075
DB01192,P68366
DB01192,P42336
DB01193,O14958
DB01193,P27448
DB01194,P14735
DB01194,Q9NPA1
DB01195,P10997
DB01195,P05109
DB01196,O75340
DB01196,O95665
DB01197,P03923
DB01197,O14732
DB01198,P00742
DB01198,P30519
DB01199,P01031
DB01199,P41146
DB01200,P25774
DB01200,P13611
DB01202,O94768
DB01202,P04406
DB01203,P35754
DB01203,Q14957
DB01204,P21860
DB01204,Q9HBH9
DB01205,Q96DB2
DB01205,O15111
DB01208,P30291
DB01208,Q04609
DB01209,P03952
DB01209,P43681
DB01210,P15153
DB01210,P00450
DB01211,Q9P0X4
DB01211,P27448
DB01212,P48547
DB01212,Q02127
DB01213,O14976
DB01213,P00742
DB01214,Q05932
DB01214,P11274
DB01215,P35398
DB01215,P29275
DB01216,O60939
DB01216,Q07955
DB01217,P63316
DB01217,P06493
DB01218,P10412
DB01218,P27449
DB01219,P22557
DB01219,O14556
DB01220,Q92953
DB01220,P22455
DB01221,Q969S8
DB01221,P11217
DB01222,O43175
DB01222,Q00796
DB01223,Q9P289
DB01223,P04746
DB01224,P14410
DB01224,Q9Y5K3
DB01226,P53778
DB01226,P48506
DB01227,Q9Y6E0
DB01227,P48723
DB01228,P02765
DB01228,P25311
DB01229,Q92569
DB01229,P20309
DB01231,P33261
DB01231,P05089
DB01233,P30043
DB01233,Q12866
DB01234,O00299
DB01234,Q05932
DB01235,Q9BXA7
DB01235,P07288
DB01236,P04070
DB01236,P63244
DB01238,P15880
DB01238,P31749
DB01239,P00352
DB01239,Q8TDN1
DB01240,Q9UHQ9
DB01240,P08185
DB01241,P16152
DB01241,P08172
DB01242,P34897
DB01242,O43252
DB01244,P43003
DB01244,Q16478
DB01245,Q05586
DB01245,Q9Y2H1
DB01246,P43119
DB01246,Q9BY32
DB01247,Q15842
DB01247,Q9UPZ9
DB01248,P00748
DB01248,O15440
DB01250,P05412
DB01250,Q9UQ05
DB01251,Q99653
DB01251,Q9UJT0
DB01253,P51553
DB01253,P32322
DB01254,P23560
DB01254,O14578
DB01259,O14958
DB01259,Q14697
DB01260,P78508
DB01260,P36969
DB01261,P84077
DB01261,P36956
DB01262,P78508
DB01262,P99999
DB01267,Q9Y5K3
DB01267,P40933
DB01268,P22309
DB01268,P17568
DB01273,O15547
DB01273,P06401
DB01274,Q9UJT1
DB01274,P07360
DB01275,P18825
DB01275,P29466
DB01280,Q04771
DB01280,P54710
DB01283,O15350
DB01283,P09488
DB01288,P10515
DB01288,P06401
DB01291,Q16773
DB01291,P63000
DB01296,Q9UNK4
DB01296,P15336
DB01297,P24752
DB01297,Q13188
DB01303,P48507
DB01303,P31025
DB01320,Q75N90
DB01320,P14854
DB01324,P37840
DB01324,P19784
DB01325,P47870
DB01325,P07357
DB01327,P35869
DB01327,Q07869
DB01336,P07864
DB01336,Q15738
DB01337,Q9HAB3
DB01337,P11177
DB01338,P27707
DB01338,P07947
DB01339,P42338
DB01339,O15304
DB01340,Q59H18
DB01340,P03905
DB01345,P30101
DB01345,P30926
DB01348,P42681
DB01348,Q99714
DB01351,P35527
DB01351,Q9NY72
DB01353,P04731
DB01353,P04406
DB01357,P40925
DB01357,Q96RQ9
DB01359,P53350
DB01359,O00459
DB01364,P51812
DB01364,P31942
DB01365,Q9NRF9
DB01365,P43353
DB01366,Q86YB8
DB01366,P29074
DB01367,Q15800
DB01367,O60359
DB01370,P07355
DB01370,P11678
DB01378,Q8WYK2
DB01378,Q99707
DB01380,P01009
DB01380,P02763
DB01382,P48039
DB01382,Q99720
DB01392,P84077
DB01392,O75460
DB01393,P05181
DB01393,P60174
DB01394,P05109
DB01394,Q15759
DB01395,Q9UHD2
DB01395,P07998
DB01396,P30044
DB01396,P30530
DB01399,Q16795
DB01399,P11137
DB01400,P30405
DB01400,Q07075
DB01401,Q02928
DB01401,Q9BRS2
DB01403,Q9UM73
DB01403,P22309
DB01406,Q9ULX7
DB01406,P0DP23
DB01407,P00748
DB01407,Q8IYT8
DB01409,P29372
DB01409,Q9UGM1
DB01410,P02675
DB01410,O75469
DB01418,Q14573
DB01418,Q8NEY4
DB01419,P36956
DB01419,P54756
DB01420,Q14573
DB01420,Q99714
DB01426,P13569
DB01426,P62807
DB01427,Q9UJ90
DB01427,P48167
DB01428,P60174
DB01428,P13498
DB01430,Q8WWQ8
DB01430,Q96RR4
DB01435,P16591
DB01435,P68871
DB01436,P00403
DB01436,P06241
DB01437,Q86U10
DB01437,Q13153
DB01438,P31939
DB01438,P31749
DB01440,Q9NQU5
DB01440,Q9UKG9
DB01452,P06744
DB01452,O14964
DB01544,P18089
DB01544,P04271
DB01558,P51648
DB01558,Q9UF33
DB01559,P27361
DB01559,P42262
DB01576,P08253
DB01576,P48048
DB01577,P31943
DB01577,P52333
DB01579,P41231
DB01579,Q06278
DB01580,Q07820
DB01580,P03891
DB01583,P25103
DB01583,P31937
DB01586,Q9UKI8
DB01586,P56696
DB01587,P37840
DB01587,P03897
DB01588,O43174
DB01588,P51843
DB01589,P22607
DB01589,Q00534
DB01590,P06396
DB01590,P24385
DB01591,P02747
DB01591,P42345
DB01592,P01019
DB01592,P14923
DB01593,P07451
DB01593,P04839
DB01595,P14550
DB01595,Q9NPA2
DB01599,P46439
DB01599,Q7LG56
DB01600,O00329
DB01600,P04264
DB01608,Q99456
DB01608,P08243
DB01611,Q9UKV0
DB01611,Q9UQB9
DB01616,Q14164
DB01616,Q13946
DB01618,Q96A05
DB01618,P43119
DB01619,Q9NSA2
DB01619,P48547
DB01620,P07359
DB01620,P10909
DB01621,Q92753
DB01621,P05181
DB01623,Q99677
DB01623,P11802
DB01624,P54762
DB01624,P31942
DB01625,P08686
DB01625,Q9Y5S1
DB01626,P31937
DB01626,P30711
DB01628,Q9Y2K2
DB01628,P51451
DB01656,Q9NYX4
DB01656,Q93086
DB01698,O60488
DB01698,P48736
DB01708,P17612
DB01708,Q9UQQ2
DB01744,P24557
DB01744,Q9NYP7
DB01956,P30711
DB01956,P23258
DB02266,Q00975
DB02266,P37173
DB02300,P35354
DB02300,P13639
DB02530,O60840
DB02530,Q16773
DB02546,O60568
DB02546,P24530
DB02659,Q15391
DB02659,Q32MK0
DB02701,Q6IA69
DB02701,P07998
DB02789,P48549
DB02789,P26439
DB02925,P22455
DB02925,Q99437
DB03088,Q8NCM2
DB03088,P29274
DB03128,P59768
DB03128,Q12866
DB03147,O14936
DB03147,P17752
DB03193,P10412
DB03193,P34896
DB03255,P42681
DB03255,P00797
DB03310,Q9Y6E0
DB03310,P43004
DB03585,Q9NYX4
DB03585,Q9H3N8
DB03614,P29376
DB03614,Q9NPA2
DB03615,P68104
DB03615,P19793
DB03619,P36021
DB03619,Q6YP21
DB03754,P21453
DB03754,Q7KZI7
DB03756,Q9Y694
DB03756,P20839
DB03793,O75385
DB03793,Q9GZU7
DB03796,P07359
DB03796,P63252
DB03904,P03372
DB03904,P19878
DB04115,Q02383
DB04115,P11473
DB04224,P36888
DB04224,P43353
DB04272,Q15825
DB04272,P14867
DB04339,P40926
DB04339,P78362
DB04348,P42858
DB04348,Q9H6Z9
DB04540,P07333
DB04540,P06756
DB04573,O43617
DB04573,O14578
DB04574,Q9NYK1
DB04574,P16234
DB04575,Q99572
DB04575,P52209
DB04657,Q00537
DB04657,Q07021
DB04703,Q9UEW8
DB04703,P05093
DB04743,P01100
DB04743,O75747
DB04817,Q9H3Y6
DB04817,P04839
DB04820,P32929
DB04820,O14764
DB04821,P21796
DB04821,P10828
DB04824,O15304
DB04824,P08185
DB04825,P02766
DB04825,P15559
DB04832,Q5KSL6
DB04832,O14976
DB04834,P35754
DB04834,P04746
DB04837,P54619
DB04837,Q7Z460
DB04838,Q06187
DB04838,Q9Y6M9
DB04839,Q9NS75
DB04839,Q9BUB5
DB04840,Q02818
DB04840,P61421
DB04841,O75936
DB04841,P56524
DB04842,Q13315
DB04842,Q96G91
DB04843,P10997
DB04843,P45983
DB04844,O95477
DB04844,Q13627
DB04846,P35218
DB04846,P14060
DB04854,Q15125
DB04854,P48551
DB04855,O60568
DB04855,Q07343
DB04861,Q15825
DB04861,P02656
DB04864,P30838
DB04864,P14410
DB04865,Q9ULB1
DB04865,Q16832
DB04868,Q06187
DB04868,Q9NPA2
DB04871,Q02127
DB04871,O75762
DB04876,P16615
DB04876,P21453
DB04880,P03901
DB04880,P0CG29
DB04890,Q8NFD2
DB04890,P02787
DB04896,Q92887
DB04896,Q16659
DB04898,P29622
DB04898,P04217
DB04908,Q9BY66
DB04908,P10620
DB04920,P20701
DB04920,O95168
DB04930,P17612
DB04930,P29322
DB04938,Q9H3M0
DB04938,O76074
DB04946,Q14003
DB04946,P02765
DB04948,O14880
DB04948,Q9NPC2
DB04953,O14832
DB04953,P13639
DB05015,P56696
DB05015,Q6IA69
DB05039,P05090
DB05039,Q15493
DB05239,O15217
DB05239,P29474
DB05246,P07686
DB05246,Q9BXA7
DB05260,Q13188
DB05260,Q15800
DB05271,P46597
DB05271,P27824
DB05294,Q7LG56
DB05294,Q9P286
DB05316,O15440
DB05316,Q96PR1
DB05351,O95470
DB05351,Q14542
DB05381,P31415
DB05381,Q9NYR8
DB05521,O75380
DB05521,P04049
DB05541,P16615
DB05541,Q00266
DB05812,O14764
DB05812,P68371
DB05990,P46663
DB05990,P29350
DB06016,P09488
DB06016,P04114
DB06077,O00180
DB06077,P16234
DB06144,Q9Y600
DB06144,P19404
DB06148,Q06432
DB06148,Q9NPH2
DB06151,Q9UKG9
DB06151,O75912
DB06152,Q04828
DB06152,Q8TCC7
DB06153,P09960
DB06153,Q96S37
DB06154,O43676
DB06154,P09210
DB06155,O15197
DB06155,P10275
DB06174,O14791
DB06174,O14965
DB06176,O15403
DB06176,Q16099
DB06201,Q14697
DB06201,P40394
DB06202,O95907
DB06202,Q9H228
DB06203,Q13946
DB06203,P14920
DB06204,P01009
DB06204,Q15493
DB06207,P68871
DB06207,P54289
DB06209,P42574
DB06209,P02747
DB06213,P02750
DB06213,P14866
DB06216,P07864
DB06216,P49448
DB06217,Q9Y2Q3
DB06217,P54710
DB06218,Q9Y5S8
DB06218,P14550
DB06228,P12821
DB06228,P19835
DB06230,Q15118
DB06230,P02747
DB06237,Q13003
DB06237,P05090
DB06249,Q6PHR2
DB06249,P15538
DB06262,Q16853
DB06262,P06396
DB06267,Q9UKQ2
DB06267,O43678
DB06268,Q96SW2
DB06268,P48551
DB06274,Q9NYK1
DB06274,P17516
DB06282,P30838
DB06282,Q14432
DB06287,Q06187
DB06287,P52209
DB06288,Q02221
DB06288,Q14978
DB06335,Q9Y271
DB06335,P36543
DB06401,Q9Y2D1
DB06401,Q99456
DB06403,Q9NRF9
DB06403,P17174
DB06410,P07360
DB06410,P40261
DB06412,P29401
DB06412,O43283
DB06413,O60939
DB06413,Q12809
DB06441,P20674
DB06441,A5X5Y0
DB06480,P15104
DB06480,P08253
DB06589,Q99623
DB06589,Q13224
DB06594,P17936
DB06594,P41146
DB06595,Q99584
DB06595,P00403
DB06603,P04080
DB06603,Q16512
DB06605,P07550
DB06605,Q15155
DB06616,P49821
DB06616,Q02763
DB06626,O75185
DB06626,P20309
DB06637,Q14978
DB06637,P23246
DB06654,P07225
DB06654,P00325
DB06684,P52209
DB06684,Q13233
DB06689,Q15842
DB06689,Q15825
DB06691,Q14542
DB06691,P08581
DB06694,Q9UBM7
DB06694,O14976
DB06695,P18545
DB06695,Q07864
DB06698,P26447
DB06698,Q9NYP7
DB06699,O95299
DB06699,P02656
DB06700,P23743
DB06700,P30626
DB06701,P13639
DB06701,Q04771
DB06702,P09488
DB06702,P30532
DB06706,P04217
DB06706,P00558
DB06707,P29320
DB06707,P06733
DB06709,P28221
DB06709,Q01814
DB06710,P07332
DB06710,Q14957
DB06711,Q05655
DB06711,P04040
DB06712,Q9Y285
DB06712,Q16584
DB06713,Q96L12
DB06713,P43004
DB06716,P07741
DB06716,P34896
DB06718,P43088
DB06718,P43003
DB06725,P17658
DB06725,P00441
DB06736,P00738
DB06736,P04279
DB06751,O43570
DB06751,O15382
DB06756,Q96PY6
DB06756,O75185
DB06757,P20309
DB06757,Q9UQB9
DB06764,P16220
DB06764,P60174
DB06766,P49589
DB06766,Q9UBV8
DB06772,P10826
DB06772,P09874
DB06774,P54687
DB06774,P31151
DB06777,Q99640
DB06777,O15075
DB06780,Q99500
DB06780,Q92753
DB06781,P01584
DB06781,Q8WXS5
DB06782,Q14457
DB06782,Q9NR63
DB06786,O43293
DB06786,P51161
DB06787,P13611
DB06787,Q9UHQ9
DB06788,Q9Y2D1
DB06788,P23141
DB06789,P78527
DB06789,P20839
DB06800,P31152
DB06800,O15382
DB06802,Q01959
DB06802,Q03403
DB06813,Q96RQ9
DB06813,Q9H0K1
DB06814,P29275
DB06814,O43525
DB06825,Q99500
DB06825,P53778
DB08329,P53805
DB08329,Q9H4Y5
DB08439,O00238
DB08439,O95819
DB08604,O00299
DB08604,P22607
DB08799,Q9H015
DB08799,P29972
DB08801,O00204
DB08801,P14598
DB08804,Q99259
DB08804,P22303
DB08809,Q99677
DB08809,P56537
DB08814,P10809
DB08814,P22460
DB08815,Q07817
DB08815,P14324
DB08816,P07711
DB08816,Q969G6
DB08818,Q6NUM9
DB08818,P14060
DB08819,P14866
DB08819,P38606
DB08820,O15374
DB08820,P36888
DB08822,P14410
DB08822,O95298
DB08828,P15692
DB08828,Q9BRS2
DB08860,P49840
DB08860,P00338
DB08864,Q9UKG9
DB08864,P00505
DB08865,Q9Y2T6
DB08865,P09917
DB08867,Q92887
DB08867,Q9Y6H6
DB08868,O14936
DB08868,P06702
DB08871,Q12809
DB08871,Q14978
DB08872,O15269
DB08872,Q15493
DB08875,O00469
DB08875,P80365
DB08877,P14780
DB08877,Q13303
DB08880,P38435
DB08880,P13945
DB08881,P39086
DB08881,P28223
DB08882,Q14833
DB08882,P43003
DB08883,Q9Y463
DB08883,P47869
DB08893,P16581
DB08893,P60568
DB08895,Q9HBG4
DB08895,P78330
DB08896,P29474
DB08896,P14780
DB08897,Q13133
DB08897,Q8IVH4
DB08899,P43155
DB08899,O95831
DB08901,Q9P2K8
DB08901,P01100
DB08906,P16083
DB08906,P00325
DB08910,Q14571
DB08910,P02656
DB08911,P04080
DB08911,O60494
DB08912,P08235
DB08912,Q9Y666
DB08916,P03923
DB08916,P11177
DB08918,P17405
DB08918,P10606
DB08932,Q8TDU6
DB08932,O60603
DB08936,P33527
DB08936,Q71U36
DB08949,P35348
DB08949,Q15208
DB08950,Q8TED1
DB08950,P42680
DB08964,P42858
DB08964,P42261
DB08995,P22748
DB08995,P51649
DB09026,P01308
DB09026,Q15067
DB09031,Q9UJ90
DB09031,P42684
DB09047,P00374
DB09047,P21453
DB09048,Q15428
DB09048,Q15759
DB09049,P14410
DB09049,Q9NZK7
DB09053,P36543
DB09053,P10635
DB09054,O95819
DB09054,Q99808
DB09061,Q9UQM7
DB09061,Q8TDU6
DB09063,P04150
DB09063,P46439
DB09064,P14410
DB09064,P78508
DB09068,Q15274
DB09068,P78334
DB09070,Q9Y617
DB09070,Q13523
DB09071,P47869
DB09071,P10827
DB09073,Q9UJ96
DB09073,P10632
DB09074,Q9GZT4
DB09074,P49448
DB09075,O75899
DB09075,Q9NR82
DB09076,P08253
DB09076,P26440
DB09078,P41594
DB09078,P29590
DB09079,P22792
DB09079,P01009
DB09080,Q9NPH2
DB09080,Q9ULY5
DB09082,Q00534
DB09082,P14060
DB09085,P53985
DB09085,P24311
DB09086,Q16595
DB09086,Q9UHD2
DB09089,P41743
DB09089,P36543
DB09090,O75185
DB09090,P22626
DB09091,P25100
DB09091,P00450
DB09092,P06703
DB09092,O43293
DB09095,Q13555
DB09095,P07327
DB09097,P54619
DB09097,Q12852
DB09112,Q16659
DB09112,Q16665
DB09116,P23921
DB09116,Q13936
DB09118,Q14520
DB09118,P41145
DB09119,Q9UJ96
DB09119,O96000
DB09123,P49761
DB09123,P05141
DB09124,Q7L7X3
DB09124,P48058
DB09128,P13569
DB09128,Q08426
DB09129,Q86XP1
DB09129,P18505
DB09130,P07327
DB09130,Q14831
DB09131,P23378
DB09131,P52564
DB09140,Q96EN8
DB09140,P42680
DB09143,P27816
DB09143,O60285
DB09148,Q07817
DB09148,P18848
DB09149,Q92887
DB09149,P16591
DB09167,P27986
DB09167,P62714
DB09185,Q9UI32
DB09185,P45954
DB09195,Q16288
DB09195,Q96A05
DB09205,O14764
DB09205,P00338
DB09209,O95977
DB09209,P01009
DB09212,Q96RQ3
DB09212,P05093
DB09213,P31153
DB09213,P31213
DB09214,Q9Y5Y9
DB09214,P49448
DB09216,Q9UHD2
DB09216,Q9Y5K3
DB09220,P68400
DB09220,Q9Y698
DB09225,O60488
DB09225,P16219
DB09236,Q9HCC0
DB09236,Q04609
DB09237,Q6NS38
DB09237,Q96L12
DB09238,O14561
DB09238,P68104
DB09241,Q16654
DB09241,P29972
DB09242,P01189
DB09242,P36543
DB09256,Q96FI4
DB09256,Q9Y600
DB09257,P08913
DB09257,P42263
DB09270,P46736
DB09270,P16234
DB09272,Q9BXJ7
DB09272,Q02156
DB09280,Q0VD83
DB09280,Q06203
DB09291,Q9Y271
DB09291,O43175
DB09300,P36955
DB09300,Q8WWQ8
DB09327,Q02928
DB09327,P30536
DB09330,Q96RI1
DB09330,P04746
DB09351,Q9NY46
DB09351,P02743
DB09371,Q99640
DB09371,P48169
DB09389,P84077
DB09389,Q6NS38
DB09401,P42680
DB09401,P23458
DB09409,Q13882
DB09409,O75838
DB09460,P13674
DB09460,P06744
DB09462,P19525
DB09462,P49761
DB09472,P35754
DB09472,P19835
DB09477,P04626
DB09477,Q15596
DB09481,Q07075
DB09481,Q99677
DB09488,Q02779
DB09488,P30044
DB09517,P29034
DB09517,Q9P286
DB09526,Q8N5Z0
DB09526,P35499
DB09555,P30086
DB09555,Q14353
DB11079,P12268
DB11079,Q93050
DB11081,Q9BY49
DB11081,Q9Y646
DB11085,Q9UK32
DB11085,Q9Y6J6
DB11090,Q9UBL9
DB11090,P07195
DB11093,P25713
DB11093,P27707
DB11148,P42338
DB11148,Q9P286
DB11156,Q9NYR8
DB11156,O95670
DB11157,O75185
DB11157,Q04759
DB11181,P29275
DB11181,O15342
DB11186,P20648
DB11186,P14920
DB11219,P00750
DB11219,Q9HB55
DB11235,P41250
DB11235,P31152
DB11273,Q14032
DB11273,Q02763
DB11274,P24941
DB11274,P05067
DB11278,P15056
DB11278,P07237
DB11348,P10620
DB11348,Q8TDN2
DB11359,P23378
DB11359,Q12852
DB11362,Q86W47
DB11362,P49888
DB11363,Q14500
DB11363,P48039
DB11386,Q9BYV1
DB11386,P50416
DB11496,Q15759
DB11496,P53805
DB11560,P27707
DB11560,P07327
DB11577,Q9Y6H6
DB11577,Q9HCC0
DB11581,P05093
DB11581,P18847
DB11587,O94768
DB11587,P41145
DB11590,P02763
DB11590,Q9UHD2
DB11591,P05108
DB11591,P45973
DB11611,Q9H228
DB11611,P48039
DB11614,O43612
DB11614,Q9UP52
DB11619,P28222
DB11619,P02751
DB11632,Q9H252
DB11632,P07203
DB11633,Q86Y39
DB11633,P54756
DB11640,P10620
DB11640,P02795
DB11641,P13645
DB11641,P50993
DB11642,P24557
DB11642,O15374
DB11644,P17612
DB11644,P30838
DB11652,P31749
DB11652,Q9GZT4
DB11660,Q16512
DB11660,P19525
DB11672,P52429
DB11672,P41180
DB11689,P23528
DB11689,Q9UJ90
DB11691,P21918
DB11691,P10828
DB11699,P63261
DB11699,Q86UE8
DB11703,P23378
DB11703,Q96I15
DB11712,Q16760
DB11712,Q9NZK7
DB11718,Q8N1G2
DB11718,O95835
DB11730,P22888
DB11730,P98164
DB11738,P07498
DB11738,Q96GD4
DB11757,Q9UP52
DB11757,P02787
DB11760,P14866
DB11760,Q07343
DB11791,P00519
DB11791,P07741
DB11817,Q99571
DB11817,Q02252
DB11823,Q96I15
DB11823,Q96RP8
DB11828,O75838
DB11828,Q8N8Y2
DB11837,P02775
DB11837,P03952
DB11842,O14965
DB11842,Q96FI4
DB11853,Q16790
DB11853,O75600
DB11855,P49189
DB11855,Q9H2X9
DB11859,P34972
DB11859,Q6FHJ7
DB11901,Q9NY46
DB11901,P16220
DB11921,P18545
DB11921,P27815
DB11952,Q99714
DB11952,Q9Y6L6
DB11963,P09455
DB11963,Q9NP56
DB11967,P42330
DB11967,O14880
DB11978,O43772
DB11978,Q9UKE5
DB11979,Q13131
DB11979,Q15596
DB11986,Q08289
DB11986,P80303
DB11994,Q03403
DB11994,P28161
DB11995,P49419
DB11995,P49908
DB12001,P24941
DB12001,Q05901
DB12010,P09172
DB12010,P08235
DB12015,Q8IU85
DB12015,P11217
DB12130,P23634
DB12130,P48448
DB12141,P09769
DB12141,P49189
DB12147,P03897
DB12147,Q9UQM7
DB12161,P51857
DB12161,O43677
DB12267,O75762
DB12267,P81605
DB12278,Q9UJ90
DB12278,O43920
DB12328,P52429
DB12328,Q9H2G2
DB12332,P35218
DB12332,P27169
DB12364,P28161
DB12364,P07327
DB12371,Q92569
DB12371,O15067
DB12404,Q9UBC3
DB12404,Q02818
DB12483,P00558
DB12483,P06732
DB12500,P48039
DB12500,O15403
DB12537,Q7L7X3
DB12537,P07360
DB12612,P08684
DB12612,Q9NR96
DB12783,Q9BPV8
DB12783,Q9HD40
DB12789,Q8TC12
DB12789,P41146
DB12941,Q99808
DB12941,Q16775
DB12978,O76083
DB12978,Q8N5Z0
DB13139,P40933
DB13139,Q8IVH4
DB13154,P00742
DB13154,P41238
DB13155,P21964
DB13155,O95954
DB13158,P05412
DB13158,Q16775
DB13166,P24462
DB13166,Q9P0Z9
DB13167,P05091
DB13167,P29475
DB13179,O00459
DB13179,P28161
DB13257,Q9UQL6
DB13257,P37058
DB13269,O95747
DB13269,Q16832
DB13345,Q9H3M0
DB13345,Q01064
DB13346,P51812
DB13346,Q9UPZ9
DB13501,P49585
DB13501,Q9HB21
DB13520,P41231
DB13520,Q9HBA0
DB13615,P08684
DB13615,P15169
DB13720,Q9NSA0
DB13720,P49908
DB13751,P35372
DB13751,Q14654
DB13781,Q9NPH2
DB13781,P06858
DB13783,P14416
DB13783,P48058
DB13800,P68871
DB13800,P25100
DB13867,P20851
DB13867,Q9H2G2
DB13872,P33981
DB13872,P48058
DB13873,P16499
DB13873,P0DP23
DB13943,Q9NSY1
DB13943,P13631
DB13944,Q8IVL5
DB13944,P39086
DB13946,P07900
DB13946,P01137
DB13949,O75880
DB13949,P40926
DB13952,P21283
DB13952,P25105
DB13953,P51692
DB13953,P09769
DB13954,P46663
DB13954,Q9Y2U5
DB13955,Q9HBH9
DB13955,P20851
DB13956,Q9Y6H6
DB13956,P41595
DB13967,P05090
DB13967,P46734
DB13995,O00555
DB13995,P53985
DB13996,P42262
DB13996,P31645
DB14001,O43526
DB14001,Q86VZ1
DB14002,P11310
DB14002,Q9Y6R4
DB14006,P02750
DB14006,P17544
DB14019,P09917
DB14019,P08912
DB14185,Q9UN88
DB14185,P16083
DB14481,P09917
DB14481,P00491
DB14487,Q9Y646
DB14487,Q15822
DB14488,O43175
DB14488,P50453
DB14489,Q13621
DB14489,Q96Q83
DB14490,P02775
DB14490,P04054
DB14491,P02671
DB14491,Q8IVH4
DB14498,Q9Y6J6
DB14498,Q08499
DB14499,Q9BZV3
DB14499,P56937
DB14500,Q9UM73
DB14500,P12814
DB14507,P20648
DB14507,Q12879
DB14509,Q14432
DB14509,P46597
DB14512,Q9H228
DB14512,P09211
DB14517,P18405
DB14517,Q9H1R3
DB14520,Q8IYT8
DB14520,P16219
DB14533,Q9UHF0
DB14533,P55789
DB14539,P52333
DB14539,Q9H6Z9
DB14540,P04406
DB14540,Q04760
DB14541,P54284
DB14541,P52564
DB14542,Q9NXB9
DB14542,P07355
DB14543,Q03403
DB14543,P04181
DB14544,P31415
DB14544,P48443
DB14575,Q13085
DB14575,P31350
DB14583,P05141
DB14583,P41143
DB14596,P14598
DB14596,P52824
DB14631,P06702
DB14631,P01308
DB14649,P06401
DB14649,P19113
DB14669,P41146
DB14669,P54886
DB14723,O14832
DB14723,P27448
DB14754,O94760
DB14754,Q15118
DB14840,P20839
DB14840,P04054
DB14845,P32004
DB14845,Q32P28
DB14881,P23219
DB14881,Q9UNQ0
DB14895,P23743
DB14895,P31415
DB14975,P03891
DB14975,Q8NBN7
DB15035,Q8WXS5
DB15035,P33261
DB15091,P28845
DB15091,P17050
DB15102,Q9GZT9
DB15102,Q8N159
DB15233,O15075
DB15233,Q99759
DB15444,P49448
DB15444,P23368
DB15566,P06276
DB15566,Q9H228
DB15598,O60931
DB15598,P08913
DB15617,Q13523
DB15617,P08913
DB15685,Q6W5P4
DB15685,P10915
DB15690,Q9UI09
DB15690,O75936
DB15822,P13693
DB15822,Q07343
DB15982,P04080
DB15982,Q8NER1
DB16019,P43155
